assessment_name,question_number,option,score,explanation
Advanced Cloud Security Check,13,We do not have a disaster recovery plan.,-2,A major business risk that threatens the continuity of the entire operation.
Advanced Cloud Security Check,14,We have a centralized security alerting system (from SIEM/monitoring tools) with automated response actions for common events and a 24/7 on-call rotation.,2,"A mature, proactive security operations model."
Advanced Cloud Security Check,14,We receive email alerts from cloud security services and respond to them manually during business hours.,1,"Good, but can lead to significant delays in response, especially for overnight incidents."
Advanced Cloud Security Check,14,We periodically log in to the cloud console to check for any security notifications.,-1,A reactive and ineffective approach. Threats can cause significant damage before being noticed.
Advanced Cloud Security Check,14,We assume the cloud provider handles all security events.,-2,A critical misunderstanding of the Shared Responsibility Model. The customer is responsible for security *in* the cloud.
Advanced Cloud Security Check,14,We do not monitor for security events.,-2,"Complete lack of visibility into threats, attacks, and misconfigurations."
Advanced Cloud Security Check,15,"Each serverless function has a unique IAM execution role with narrowly scoped, least-privilege permissions. Function dependencies are scanned for vulnerabilities.",2,"Excellent. A granular, secure-by-design approach to serverless security."
Advanced Cloud Security Check,15,"Functions use shared execution roles with broader permissions based on their general purpose (e.g., 'database-access-role').",1,"A common practice, but it often grants functions more permissions than they strictly need."
Advanced Cloud Security Check,15,"All functions run under a single, highly permissive execution role for simplicity.",-1,High risk. A vulnerability in one function could be exploited to abuse the permissions of all other functions.
Advanced Cloud Security Check,15,Our functions have administrator-level permissions to avoid any access issues.,-2,Critical risk. A compromise of a single function would lead to a full environment compromise.
Advanced Cloud Security Check,15,We do not use serverless functions.,0,Not applicable if serverless functions are not in use.
GDPR Compliance Audit,1,"We have a documented lawful basis for each data processing activity, which is reviewed and included in our privacy notice.",2,Excellent. Demonstrates a clear understanding and implementation of a core GDPR principle.
GDPR Compliance Audit,1,"We primarily rely on user consent, obtained via clear affirmative action, for all our data processing.",1,"Good, but consent is not always the only or best basis. It's important to understand all six lawful bases."
GDPR Compliance Audit,1,We process data based on our 'legitimate interests' but have not performed or documented a formal balancing test.,-1,High compliance risk. Using legitimate interests without a documented LIA is not compliant.
GDPR Compliance Audit,1,We assume we have a right to process the data we collect.,-2,Critical compliance failure. Processing without a lawful basis is a major infringement.
GDPR Compliance Audit,1,We are not sure what a 'lawful basis' is.,-2,Indicates a fundamental lack of understanding of GDPR requirements.
GDPR Compliance Audit,2,"We have a clear, documented process and a dedicated contact point for handling data subject requests within the one-month time limit.",2,Best practice. Ensures you can meet your legal obligations efficiently and correctly.
GDPR Compliance Audit,2,We handle requests on an ad-hoc basis as they come in via email or support tickets.,0,"Risky. An ad-hoc process can easily miss the legal deadline, leading to a compliance breach."
GDPR Compliance Audit,2,We have received requests but are unsure how to process them or if we have to comply.,-1,High risk of non-compliance. Ignoring or improperly handling requests can lead to complaints and fines.
GDPR Compliance Audit,2,We tell users we are unable to delete their data.,-2,"A direct violation of data subject rights under GDPR, unless a specific legal exemption applies."
GDPR Compliance Audit,2,We have never received a data subject request.,0,"Neutral, but it's crucial to have a process in place for when a request is eventually received."
GDPR Compliance Audit,3,"Yes, we have formally appointed a DPO with the necessary expertise and have registered them with the relevant supervisory authority.",2,"Excellent. Correctly implemented where required, showing mature governance."
GDPR Compliance Audit,3,"We have assigned data protection responsibilities to an existing employee, but not as a formal DPO role.",1,"A good step, but may not meet the formal requirements if a DPO is mandatory for your organization."
GDPR Compliance Audit,3,We use an external consultant for data protection advice but have no appointed DPO.,0,"May be compliant if a DPO is not mandatory, but risky if one is required."
GDPR Compliance Audit,3,We are a small company and believe we do not need a DPO.,-1,"A risky assumption. The need for a DPO is based on processing activities, not just company size."
GDPR Compliance Audit,3,We do not know what a DPO is.,-2,Indicates a significant gap in understanding GDPR's governance requirements.
GDPR Compliance Audit,4,We have a formal process where a Data Protection Impact Assessment (DPIA) is conducted for all new projects involving personal data.,2,"Excellent. This embeds privacy into your operations, as required by GDPR."
GDPR Compliance Audit,4,"We consider privacy during the design phase of new products, but the process is informal.",1,"A good cultural practice, but an informal process can be inconsistent and hard to prove to regulators."
GDPR Compliance Audit,4,We try to add privacy features after a product has been built if a concern is raised.,-1,A reactive approach that goes against the core principle of 'by Design and by Default'.
GDPR Compliance Audit,4,We prioritize functionality first and consider privacy only if required by customers.,-2,A direct contradiction of the 'Data Protection by Design' principle.
GDPR Compliance Audit,4,We are not familiar with this principle.,-2,A fundamental gap in knowledge of GDPR's core operational requirements.
GDPR Compliance Audit,5,"We have a documented internal procedure for assessing and reporting breaches to the supervisory authority within 72 hours, as part of our Incident Response Plan.",2,Best practice. Ensures you can meet the tight and mandatory reporting deadline.
GDPR Compliance Audit,5,We know we need to report breaches and would contact our legal advisor to do so if one occurred.,1,"Good awareness, but not having a pre-defined internal process can cause critical delays."
GDPR Compliance Audit,5,We would only report a breach if it was very large or if customers complained.,-2,"Non-compliant. All breaches posing a risk to individuals must be reported, not just large ones."
GDPR Compliance Audit,5,We believe we are not required to report data breaches.,-2,"A critical misunderstanding of GDPR obligations, which can lead to significant fines."
GDPR Compliance Audit,5,We do not have a process for this.,-1,"High risk. Without a process, meeting the 72-hour deadline is nearly impossible."
GDPR Compliance Audit,6,"Yes, we maintain a comprehensive and up-to-date RoPA that is regularly reviewed and made available to supervisory authorities upon request.",2,"Excellent. This meets a core, mandatory documentation requirement of GDPR."
GDPR Compliance Audit,6,"We have a spreadsheet that lists our main data processing activities, but it is not fully detailed or regularly updated.",1,"A good start, but an incomplete or outdated RoPA does not meet the legal requirement."
GDPR Compliance Audit,6,"We have some documentation on data flows for specific projects, but not a central record.",-1,"Insufficient. GDPR requires a central, comprehensive Record of Processing Activities."
GDPR Compliance Audit,6,We do not maintain a record of our processing activities.,-2,A direct breach of a mandatory GDPR documentation requirement (Article 30).
GDPR Compliance Audit,6,We do not know what a RoPA is.,-2,A critical knowledge gap regarding a key GDPR accountability obligation.
GDPR Compliance Audit,7,"We have signed Data Processing Agreements (DPAs) with all third-party vendors, and we conduct periodic reviews of their security and compliance measures.",2,"A mature, best-practice approach to managing supply chain and data processor risk."
GDPR Compliance Audit,7,We have DPAs in place with our major vendors.,1,"Good practice, but GDPR requires a DPA with *all* processors, not just major ones."
GDPR Compliance Audit,7,"We check the vendor's privacy policy before using their service, but do not have formal agreements.",-1,Insufficient. A privacy policy is not a substitute for a legally binding DPA.
GDPR Compliance Audit,7,We use vendors without a formal data protection review process.,-2,High risk. You are liable for breaches caused by your data processors if you haven't performed due diligence.
GDPR Compliance Audit,7,We do not share personal data with any third-party vendors.,0,"Reduces this specific risk, but this is rare for modern businesses."
GDPR Compliance Audit,8,"All international data transfers are mapped and conducted using a valid transfer mechanism, such as the UK's International Data Transfer Agreement or Adequacy decisions.",2,Excellent. Demonstrates a clear and compliant approach to a complex area of GDPR.
GDPR Compliance Audit,8,"We are aware some of our vendors are outside the UK/EEA and believe they are compliant, but have not documented the transfer mechanism.",-1,"Belief is not sufficient for compliance. You must have a valid, documented transfer mechanism in place."
GDPR Compliance Audit,8,"We transfer data to vendors globally without a specific legal mechanism in place, assuming it's okay.",-2,A direct breach of GDPR's rules on international data transfers.
GDPR Compliance Audit,8,We are not sure where our data is stored or transferred.,-1,A significant governance failure. You must know where the personal data you control is going.
GDPR Compliance Audit,8,We do not transfer any data internationally.,0,"Simplifies compliance, but ensure this is accurate (e.g., check where your cloud provider stores data)."
GDPR Compliance Audit,9,"We have a data retention policy with specific periods for all categories of personal data, and an automated process for deletion or anonymization.",2,Best practice. This operationalizes the GDPR principle of storage limitation.
GDPR Compliance Audit,9,We have general guidelines for data retention but the deletion process is manual and ad-hoc.,1,"A good start, but a manual process is prone to error and data being kept for too long."
GDPR Compliance Audit,9,We keep most data indefinitely unless a user specifically asks for it to be deleted.,-2,A direct violation of the storage limitation principle. Data should not be kept forever 'just in case'.
GDPR Compliance Audit,9,We have never deleted any personal data we have collected.,-2,This indicates a systemic failure to comply with the storage limitation principle.
GDPR Compliance Audit,9,We do not have a data retention policy.,-1,High compliance risk. You must be able to justify why you are still holding personal data.
GDPR Compliance Audit,10,"Our privacy notice is written in plain language, easily accessible from all data collection points, and reviewed regularly for accuracy and compliance.",2,Excellent. This meets the GDPR requirements for transparency and accessibility.
GDPR Compliance Audit,10,We have a comprehensive privacy policy linked in our website footer.,1,"Good, but must also be actively provided at the point of data collection ('just-in-time' notice)."
GDPR Compliance Audit,10,Our privacy policy is a long legal document that is difficult for a non-lawyer to understand.,-1,"Fails the GDPR requirement for information to be provided in 'a concise, transparent, intelligible and easily accessible form, using clear and plain language'."
GDPR Compliance Audit,10,We do not have a privacy notice or policy.,-2,A critical compliance failure that violates the core principle of transparency.
GDPR Compliance Audit,10,We use a generic privacy policy template we found online.,-1,High risk. A template is not specific to your data processing activities and is likely non-compliant.
